"filename", "language", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\nadas4340\Documents\FINALPROJ\src\Bullet.ts", "TypeScript", 0, 45, 1, 8, 54
"c:\Users\nadas4340\Documents\FINALPROJ\src\Collider.ts", "TypeScript", 0, 18, 0, 4, 22
"c:\Users\nadas4340\Documents\FINALPROJ\src\Enemy.ts", "TypeScript", 0, 141, 2, 9, 152
"c:\Users\nadas4340\Documents\FINALPROJ\src\GameObject.ts", "TypeScript", 0, 19, 0, 2, 21
"c:\Users\nadas4340\Documents\FINALPROJ\src\Global.ts", "TypeScript", 0, 48, 1, 9, 58
"c:\Users\nadas4340\Documents\FINALPROJ\src\Player.ts", "TypeScript", 0, 73, 1, 7, 81
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Buffers.ts", "TypeScript", 0, 39, 2, 6, 47
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Canvas.ts", "TypeScript", 0, 23, 0, 3, 26
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Events.ts", "TypeScript", 0, 39, 1, 7, 47
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Shader.ts", "TypeScript", 0, 119, 12, 30, 161
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Shapes.ts", "TypeScript", 0, 192, 6, 18, 216
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Texture.ts", "TypeScript", 0, 54, 3, 13, 70
"c:\Users\nadas4340\Documents\FINALPROJ\src\WebGL\Types.ts", "TypeScript", 0, 62, 15, 14, 91
"c:\Users\nadas4340\Documents\FINALPROJ\src\dark.css", "CSS", 126, 0, 2, 15, 143
"c:\Users\nadas4340\Documents\FINALPROJ\src\main.ts", "TypeScript", 0, 97, 3, 22, 122
"c:\Users\nadas4340\Documents\FINALPROJ\src\style.css", "CSS", 27, 0, 0, 3, 30
"c:\Users\nadas4340\Documents\FINALPROJ\src\vite-env.d.ts", "TypeScript", 0, 0, 1, 1, 2
"Total", "-", 153, 969, 50, 171, 1343
